pid,PickupLocationID,TripDistance
2,.82,170
2,1.50,113
1,5.50,87
2,.87,164
1,4.80,79
2,1.18,148
1,2.00,236
2,3.78,143
2,5.31,114
2,1.77,162
2,3.31,107
2,2.42,163
2,1.41,239
2,1.57,48
1,1.50,231
1,5.80,234
2,3.72,230
1,.80,151
1,5.20,24
2,2.76,256
2,1.53,249
2,7.30,255
2,.53,170
1,2.00,234
1,.80,140
2,3.84,7
1,.60,141
1,1.30,142
2,1.66,164
2,.59,74
1,.70,211
2,1.32,237
2,8.85,42
1,.80,68
1,.90,143
2,5.25,164
1,3.20,79
2,1.31,233
2,5.46,186
1,.50,263
2,1.27,237
2,.80,237
2,1.83,236
2,12.36,138
2,2.86,68
2,3.24,142
2,.96,43
1,.80,230
2,1.08,249
1,15.60,138
2,1.85,233
2,1.56,236
2,1.26,140
2,.73,161
2,.61,234
1,4.20,68
2,.79,186
1,10.10,138
2,.76,239
1,2.20,68
2,5.29,263
1,.90,113
2,6.85,107
2,11.22,113
1,1.10,170
1,.50,164
2,.89,264
2,.82,234
2,1.89,90
2,1.73,234
2,.64,48
2,3.90,88
2,2.24,90
2,.96,229
2,.00,170
2,.81,107
4,2.08,263
1,1.70,79
1,2.50,79
1,.90,146
2,5.67,142
1,.80,230
2,1.73,114
2,2.51,186
2,1.56,107
2,3.82,113
1,18.10,186
1,2.80,234
1,2.40,237
2,.81,236
1,1.60,239
1,.60,237
2,1.13,90
1,.80,90
1,2.40,161
2,6.26,75
2,2.99,151
2,10.91,93
2,3.52,88
1,1.20,43
2,.61,237
1,3.70,211
2,2.65,262
2,.56,140
1,1.50,90
2,4.15,211
2,.99,107
1,.90,100
2,10.64,48
2,7.50,138
2,.73,249
1,.40,249
1,2.80,4
1,8.20,107
1,.30,75
2,.55,163
2,1.78,140
2,.61,262
2,2.35,236
1,15.80,234
1,1.40,114
2,1.18,230
1,1.10,229
2,.70,238
2,1.61,162
1,.60,163
2,2.09,137
2,.95,24
1,.30,163
1,3.10,79
1,1.20,236
1,.80,263
2,.55,24
2,1.24,75
2,1.25,162
2,2.32,142
1,.50,125
2,1.38,186
2,11.01,166
1,.40,236
2,8.83,138
1,1.60,264
2,1.10,170
2,2.78,186
2,1.51,142
2,4.90,142
2,.96,262
2,1.93,170
2,1.05,264
1,2.80,100
2,.61,79
2,17.78,50
2,2.34,262
2,2.17,186
2,.60,263
1,.30,100
2,.48,230
2,11.89,138
2,.87,163
2,.90,107
1,2.50,143
2,8.27,90
4,2.82,100
2,1.00,141
2,.66,249
2,10.01,138
2,1.91,163
2,.89,142
2,.76,142
2,3.07,142
2,2.57,162
1,.90,162
2,.62,239
2,1.66,229
2,.93,226
2,2.17,166
1,1.90,263
2,.49,90
2,1.21,162
2,2.39,87
2,2.00,231
2,1.84,211
1,1.60,162
2,3.80,79
2,1.83,90
1,1.20,246
2,.68,234
1,.90,186
1,.70,170
1,4.80,13
2,1.86,234
2,1.27,163
1,2.10,239
2,.67,42
2,2.80,68
2,.00,114
1,10.50,158
1,1.00,231
1,.70,236
2,1.60,234
1,5.40,246
2,.75,142
2,2.05,186
1,1.70,236
2,.69,141
1,6.90,140
1,.10,63
1,3.80,163
1,.60,107
2,7.33,263
2,2.14,164
1,2.50,75
1,1.70,264
2,.91,107
2,3.65,164
1,1.50,234
2,1.08,68
2,1.42,229
1,9.50,181
2,.93,234
2,2.53,48
2,.62,79
1,.80,162
2,1.29,229
2,.66,48
2,.86,229
1,1.40,234
1,8.10,231
2,2.03,41
2,6.77,107
1,2.00,158
2,1.08,164
2,2.98,231
1,1.10,148
2,.67,164
2,1.57,234
1,1.70,211
2,1.94,239
2,2.48,261
1,.80,246
2,.87,164
2,18.26,166
2,.69,50
2,2.44,237
2,.50,43
1,6.90,48
2,2.42,186
1,2.70,163
2,4.37,261
2,1.84,234
2,4.54,87
1,1.40,90
1,1.10,233
1,.90,90
2,.89,90
2,5.18,230
2,.53,50
2,1.93,231
2,1.92,107
1,1.10,237
2,.63,230
1,.00,144
1,.40,234
2,1.34,236
2,1.09,161
1,.40,236
2,4.94,234
2,1.00,143
2,.74,50
1,1.80,234
2,.63,229
2,1.67,137
2,.79,48
4,2.88,186
1,1.10,68
2,14.95,170
2,1.47,48
2,.68,164
1,1.60,114
2,2.03,145
1,.80,264
2,1.48,263
1,.70,237
1,1.60,237
1,1.70,79
2,1.11,164
2,1.84,140
2,1.49,143
2,.48,249
2,1.50,113
1,2.90,163
2,1.64,239
2,.57,230
1,18.30,132
1,.60,234
1,3.00,100
2,.93,234
2,.66,164
2,3.74,236
1,1.00,229
2,3.68,140
2,21.91,233
2,1.11,141
2,1.33,186
1,2.10,238
2,3.73,234
2,1.89,186
2,1.31,236
2,2.04,100
2,8.54,138
2,.79,48
2,1.92,238
2,10.76,171
1,5.30,170
2,1.77,186
2,12.28,132
2,.59,148
1,2.60,236
1,.50,236
1,1.60,87
2,1.50,234
1,1.00,236
1,3.80,186
1,1.00,137
2,1.65,170
1,3.00,233
1,2.00,233
2,3.34,237
2,.99,237
2,.73,237
2,3.12,141
1,2.30,144
1,2.10,107
1,1.70,137
1,11.50,138
2,10.81,132
2,.93,239
2,3.16,90
1,2.80,33
2,.70,162
1,1.00,162
2,2.40,65
2,17.50,132
2,4.04,43
1,8.40,231
1,.60,48
1,3.70,24
1,.60,161
2,5.30,142
2,.70,90
2,.56,48
1,2.00,24
2,.85,161
1,1.80,249
2,3.93,186
2,1.29,100
2,.99,107
1,2.10,143
